Seller,SKU,Revenue,Sales,Balance,Turnover days,Base price,Basic Sale,Basic Sale Price,Price with WB wallet,Comments,Days in website,Search cpm avg
,Lifecosm,9735225567,190734112,125087,31089,2004,214742,2821,69290,67885,58312,12264,14320
,MD Shop,5826220357,27104088,23707,2392,328,52510,1134,27571,27010,9903,4879,2817
,ИП Абрамова О П,4975056167,23065100,19711,2610,1284,36350,613,25744,25219,3692,6334,0
,ООО Сдэк Южный Урал,2649520341,12986223,8662,3755,5923,77108,862,15686,15368,4963,2641,750
,ИП Женишбекова А Ж,7412445632,11535293,8466,1311,368,70807,1293,35854,33794,4860,2942,946
,Other,1,51899E+12,162190826,115556,28426,51493,19476479,229524,11230466,9748604,169682,1596217,51146
